Time,R,X,S,k1,k2,k3,k4,tau,env,r1,r2,r3,r4
0.4,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.41,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.42,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.43,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.44,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.45,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.46,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.47,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.48,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.49,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.51,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.52,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.53,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.54,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.55,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.56,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.57,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.58,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.59,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.61,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.62,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.63,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.64,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.65,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.66,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.67,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.68,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.69,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.7,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.71,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.72,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.73,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.74,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.75,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.76,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.77,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.78,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.79,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.8,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.81,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.82,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.83,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.84,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.85,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.86,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.87,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.88,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.89,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.9,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.91,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.92,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.93,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.94,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.95,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.96,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.97,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.98,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.99,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.01,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.02,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.03,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.04,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.05,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.06,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.07,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.08,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.09,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.1,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.11,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.12,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.13,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.14,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.15,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.16,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.17,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.18,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.19,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.2,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.21,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.22,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.23,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.24,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.25,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.26,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.27,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.28,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.29,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.3,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.31,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.32,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.33,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.34,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.35,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.36,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.37,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.38,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.39,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.4,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.41,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.42,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.43,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.44,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.45,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.46,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.47,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.48,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.49,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.5,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.51,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.52,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.53,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.54,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.55,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.56,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.57,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.58,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.59,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.6,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.61,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.62,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.63,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.64,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.65,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.66,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.67,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.68,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.69,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.7,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.71,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.72,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.73,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.74,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.75,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.76,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.77,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.78,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.79,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.8,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.81,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.82,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.83,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.84,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.85,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.86,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.87,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.88,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.89,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.9,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.91,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.92,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.93,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.94,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.95,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.96,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.97,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.98,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.99,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.01,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.02,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.03,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.04,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.05,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.06,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.07,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.08,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.09,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.1,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.11,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.12,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.13,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.14,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.15,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.16,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.17,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.18,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.19,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.2,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.21,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.22,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.23,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.24,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.25,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.26,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.27,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.28,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.29,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.3,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.31,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.32,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.33,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.34,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.35,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.36,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.37,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.38,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.39,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.4,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.41,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.42,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.43,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.44,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.45,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.46,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
2.47,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
